Intersection,City,State,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopH,WalkComH,HseHldH,WalkComPctH,PopQ,WalkComQ,HseHldQ,WalkComPctQ,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsH,SchoolsQ,SchoolsT,Signal,MaxSlope,EmpSF_H,EmpSF_Q,EmpSF_T,EmpH,EmpQ,EmpT,StMetersH,StSegH,StMetersQ,StSegQ,StMetersT,StSegT,logPopH,logWalkComH,logHseHldH,logWalkComPctH,logPopQ,logWalkComQ,logHseHldQ,logWalkComPctQ,logPopT,logWalkComT,logHseHldT,logMaxSlope,logEmpSF_H,logEmpSF_Q,logEmpSF_T,logEmpH,logEmpQ,logEmpT,logStMetersH,logStSegH,logStMetersQ,logStSegQ,logStMetersT,logStSegT
Mandela Parkway & 14th Street,Oakland,CA,37.8107633,-122.2913285,4,Alameda,170269,12.04513482,8826.598376,166.7381764,3442.369259,0.044632758,2096.629617,52.40352384,811.5743046,0.060245471,327.2579855,10.42414567,129.6381582,0,1,0,1,3,1,0,1,0.0102,785000,130000,30000,2576,819,145,37433.61971,463,37433.61971,463,11780.87982,157,9.085525098,5.116430773,8.143915542,-3.087129453,7.648086867,3.95899292,6.698977179,-2.792865375,5.790751862,2.344220741,4.864754885,-4.491841501,13.573439,11.77528974,10.30895269,7.853993475,6.708085305,4.976740639,10.5303245,6.137727054,10.5303245,6.137727054,9.374233142,5.056245805
Webster Street & Atlantic Avenue,Alameda,CA,37.7797229,-122.276457,4,Alameda,1331197,14.1015891,8902.632628,158.5322811,3162.389055,0.036901748,2251.533597,37.35287123,775.1423394,0.037486309,364.3899129,6.424219758,131.4212901,2,0,0,1,3,0,0,1,0.0024,2306250,311250,133750,3005,504,153,29500.35472,382,29500.35472,382,9749.679505,163,9.094102425,5.065964547,8.059083367,-3.27275805,7.719367306,3.620436554,6.653047966,-3.257452711,5.898227228,1.860230834,4.878415727,-5.683979847,14.65113339,12.64835173,11.80372767,8.00803318,6.222578252,5.030444457,10.29215757,5.945420609,10.29215757,5.945420609,9.184989692,5.093750201
Hillegrass Avenue & Ashby Avenue,Berkeley,CA,37.8567208,-122.2555046,4,Alameda,594100,13.29480294,11331.07417,916.1565341,4858.996431,0.15515553,2504.145166,134.0276163,1151.454835,0.100733491,465.3600532,23.41330597,216.844849,1,0,0,1,4,0,0,0,0.026,3727500,2257500,651250,6690,4215,350,36834.56601,437,36834.56601,437,10158.15864,129,9.335304245,6.82018833,8.488587406,-1.856902781,7.825703104,4.898053332,7.048782364,-2.285398718,6.142813563,3.153347202,5.379186728,-3.611918413,15.13124833,14.62976856,13.38664887,8.808369303,8.346405108,5.857936012,10.51419198,6.079933195,10.51419198,6.079933195,9.226032468,4.859812404
Whitman Street & Tennyson Road,Hayward,CA,37.6350714,-122.0617203,4,Alameda,596883,13.29947639,9222.017657,111.0325007,2755.339826,0.026329984,1957.167035,19.13314894,607.7746894,0.021676576,233.5871435,0,75.25670705,1,0,0,1,2,1,0,0,0.0127,328750,58750,1250,801,186,2,33998.61455,419,33998.61455,419,9080.90085,126,9.129349236,4.709831964,7.921296426,-3.599770878,7.579253827,2.951474641,6.409805882,-3.786422782,5.453559494,-6.907755279,4.320918318,-4.290359446,12.70305287,10.98104645,7.13089963,6.685862196,5.22575205,0.693647056,10.43407505,6.03787092,10.43407505,6.03787092,9.113928679,4.836281907
Newark Boulevard & Jarivis Street,Newark,CA,37.5504293,-122.0494484,4,Alameda,151240,11.92662326,3943.027032,22.90501502,1338.562053,0.017433014,1182.408625,7.28022113,406.5352074,0.018938716,198.1010027,1.25279589,68.77423162,1,1,0,1,2,0,0,1,0.0034,2022500,1645000,475000,3040,1566,526,29652.56884,279,29652.56884,279,9669.154866,104,8.279704243,3.131399541,7.199351969,-3.993611991,7.07530969,1.985298586,6.007672996,-3.91509191,5.288782063,0.226175662,4.230843675,-5.426150738,14.51984493,14.31325094,13.07107009,8.019613123,7.356280515,6.265303114,10.29730404,5.631211782,10.29730404,5.631211782,9.176696187,4.644390899
Telegraph Avenue & Ashby Avenue,Berkeley,CA,37.856192,-122.2596161,4,Alameda,1193215,13.9921619,11963.28958,889.5425065,5169.946802,0.136037951,2587.007927,119.160829,1218.093322,0.081755303,385.912463,12.71670458,191.1804503,1,0,0,1,3,2,0,1,0.0234,4095000,2433750,421250,7322,4239,509,36115.85835,413,36115.85835,413,9753.653263,119,9.389598122,6.790708417,8.550617871,-1.987497377,7.858257633,4.780482477,7.105042885,-2.491867182,5.955613155,2.542995084,5.253222979,-3.713172147,15.22527728,14.70494384,12.95098176,8.89863893,8.352082907,6.232449981,10.49448734,6.023447593,10.49448734,6.023447593,9.185397187,4.779123493
College Avenue & Derby Street,Berkeley,CA,37.8621145,-122.2535514,4,Alameda,1655583,14.31966377,20705.93071,3063.594688,5605.442719,0.387219669,4471.858668,750.5614937,1552.198732,0.361307395,791.0742148,154.8118563,266.8891331,0,1,0,0,2,1,0,0,0.036,3658750,130000,35000,9932,396,99,34483.03702,389,34483.03702,389,9153.127619,100,9.938175494,8.027344567,8.631493497,-0.946183943,8.405559634,6.620822917,7.347428386,-1.01526227,6.673393051,5.042217009,5.586837087,-3.296837366,15.11263212,11.77528974,10.46310337,9.203517247,5.981416737,4.595129951,10.4482228,5.963579344,10.4482228,5.963579344,9.121850916,4.605170186
Milvia Street & Hearst Avenue,Berkeley,CA,37.8736106,-122.2709039,4,Alameda,838753,13.63967155,13951.81021,2178.550471,6258.590233,0.287777128,4073.713374,861.7305646,2004.278333,0.363132201,732.5243544,178.0555871,360.4941697,0,1,0,1,6,2,0,1,0.0378,6233750,3188750,176250,12518,5481,608,37444.53069,390,37444.53069,390,10794.28451,118,9.543364615,7.686415472,8.741710396,-1.242100071,8.312310485,6.758943812,7.60303984,-1.010238288,6.596497954,5.182101405,5.887478558,-3.249335032,15.64548864,14.97513955,12.07965873,9.434922967,8.609043027,6.410176527,10.53061594,5.966146739,10.53061594,5.966146739,9.286772061,4.770684624
San Pablo Boulevard & Virginia Street,Berkeley,CA,37.8734627,-122.2934645,4,Alameda,325895,12.69433053,8330.873278,369.507222,3783.043759,0.078007689,2226.398221,98.31386731,1042.429578,0.074392334,347.8138977,15.97747654,164.1821308,1,0,0,1,5,1,0,0,0.0242,2646250,280000,75000,5797,718,307,40159.32523,417,40159.32523,417,10881.61,115,9.027723685,5.912172992,8.238284456,-2.538210096,7.70814086,4.58817526,6.94931036,-2.58504968,5.851670435,2.7712426,5.100982456,-3.680911284,14.7886541,12.54254489,11.22524341,8.665095994,6.576470962,5.726851005,10.60060995,6.033086222,10.60060995,6.033086222,9.294829487,4.744932128
Broadway & Calhoun Street,Alameda,CA,37.7567267,-122.2439077,4,Alameda,94414,11.45544466,8964.379906,167.4060503,3762.504937,0.036133102,2611.991826,28.04457802,1196.96265,0.021578723,479.7345078,9.344212147,223.2018275,1,0,0,1,1,0,0,0,0.0109,2288750,23750,2500,2459,56,5,28611.58741,288,28611.58741,288,8577.816743,84,9.101014327,5.120428274,8.232840487,-3.293246463,7.867868744,3.333830973,7.087543338,-3.790747276,6.173234927,2.234864142,5.408080898,-4.431216879,14.64351638,10.07533785,7.824046411,7.807510449,4.025369548,1.609637892,10.26156707,5.66296048,10.26156707,5.66296048,9.056934701,4.430816799
